City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Luau,AO,-10.71,22.22,78.82,61,0,2.06,clear sky
116,Bahia Honda,CU,22.9,-83.16,77.97,87,21,9.4,few clouds
117,Houma,US,29.6,-90.72,59.0,51,1,16.11,clear sky
118,Guane,CU,22.2,-84.09,75.42,92,99,7.45,overcast clouds
119,Wamba,NG,8.93,8.6,76.71,49,62,1.66,broken clouds
120,Khatanga,RU,71.97,102.5,9.0,93,100,8.41,overcast clouds
121,Bathsheba,BB,13.22,-59.52,82.4,74,40,23.04,scattered clouds
122,Palmer,US,42.16,-72.33,39.2,60,20,10.29,few clouds
123,Ilulissat,GL,69.22,-51.1,21.2,67,100,9.17,light snow
124,Victoria,HK,22.29,114.16,84.0,53,90,1.01,overcast clouds
125,Avera,US,33.19,-82.53,53.6,37,1,11.41,clear sky
126,Besenyszog,HU,47.3,20.27,46.99,100,90,6.93,mist
127,Ancud,CL,-41.87,-73.82,46.0,93,100,2.24,overcast clouds
128,Mount Gambier,AU,-37.83,140.77,84.2,32,19,9.17,few clouds
129,Biltine,TD,14.53,20.92,86.0,24,0,19.75,clear sky
130,Lebu,CL,-37.62,-73.65,51.94,93,91,10.31,overcast clouds
131,Fortuna,US,40.6,-124.16,48.2,93,1,2.26,clear sky
132,Pevek,RU,69.7,170.31,13.98,97,100,10.27,overcast clouds
133,Vershino-Darasunskiy,RU,52.35,115.52,17.69,75,0,9.04,clear sky
134,Altay,CN,47.87,88.12,45.03,48,92,2.68,overcast clouds
135,Nova Londrina,BR,-22.77,-52.98,63.18,67,98,14.83,overcast clouds
136,Nancha,CN,47.13,129.27,31.3,88,100,10.09,overcast clouds
137,Nazareno Etla,MX,17.18,-96.82,58.59,81,73,5.55,broken clouds
138,Katsuura,JP,35.13,140.3,70.0,88,75,19.46,light intensity shower rain
139,Geraldton,AU,-28.77,114.6,68.0,77,90,13.87,overcast clouds
140,Havelock,US,34.88,-76.9,55.99,43,1,24.16,clear sky
141,Iquitos,PE,-3.75,-73.25,70.36,94,78,0.85,broken clouds
142,Vanavara,RU,60.34,102.28,26.38,97,100,10.92,light snow
143,Atar,MR,20.52,-13.05,77.02,21,100,10.87,overcast clouds
144,Mount Isa,AU,-20.73,139.5,98.6,8,0,12.35,clear sky
145,Bolgatanga,GH,10.79,-0.85,76.96,36,62,1.7,broken clouds
146,Chokurdakh,RU,70.63,147.92,-1.55,93,100,13.82,light snow
147,Seddon,AU,-37.81,144.89,84.0,32,61,8.05,broken clouds
148,Kruisfontein,ZA,-34.0,24.73,70.0,73,0,1.01,clear sky
149,Chipinge,ZW,-20.19,32.62,77.94,48,53,1.83,broken clouds
150,Chagoda,RU,59.16,35.33,34.05,91,100,6.73,overcast clouds
151,Port Lincoln,AU,-34.73,135.87,74.21,46,100,17.69,overcast clouds
152,Tarko-Sale,RU,64.92,77.78,27.36,97,74,18.39,broken clouds
153,Puerto Ayora,EC,-0.74,-90.35,68.0,94,100,8.39,overcast clouds
154,Kaitangata,NZ,-46.28,169.85,54.0,62,20,1.99,few clouds
155,Hasaki,JP,35.73,140.83,68.0,82,75,5.82,broken clouds
156,Khovu-Aksy,RU,51.13,93.6,30.72,91,100,2.59,overcast clouds
157,Gari,RU,59.43,62.35,30.31,95,0,4.09,clear sky
158,Yellowknife,CA,62.46,-114.35,6.01,84,90,3.36,light snow
159,Severo-Kurilsk,RU,50.68,156.12,41.76,81,16,14.79,few clouds
